Continent,Country,Code,Year,Water,GDP,Population
Asia,Kyrgyzstan,KGZ,2020,93.6,4714.938965,6424880
Asia,Landlocked Developing Countries,,2020,82.69,,
Asia,Laos,LAO,2020,88.79,7810.734863,7319397
Asia,Latin America and Caribbean,,2020,,14824.33008,
Africa,Latin America and the Caribbean,,2020,97.78,,
Africa,Latin America and the Caribbean (UN),,2020,,,651836096
Europe,Latvia,LVA,2020,99.46,30100.26953,1897057
Europe,Least Developed Countries,,2020,80.17,,
Asia,Lebanon,LBN,2020,100,11488.41504,5662924
Africa,Lesotho,LSO,2020,82.58,2316.987793,2254104
Africa,Liberia,LBR,2020,83.96,1392.004883,5087591
Africa,Libya,LBY,2020,99.89,10282.29102,6653946
Africa,Liechtenstein,LIE,2020,100,,38783
Europe,Lithuania,LTU,2020,98.01,37107.05859,2820269
Asia,Low and middle income,,2020,,10273.04492,
Africa,Low income,,2020,77.01,1988.428223,
Europe,Low-income countries,,2020,,,680258922
Oceania,Lower middle income,,2020,,6764.930664,
North America,Lower-middle income,,2020,92.58,,
Africa,Lower-middle-income countries,,2020,,,3369707355
Europe,Luxembourg,LUX,2020,99.88,112557.3125,630401
Africa,Macao,MAC,2020,100,57728.98828,676287
Africa,Madagascar,MDG,2020,56.1,1463.86499,28225182
Africa,Malawi,MWI,2020,92,1508.842896,19377058
Oceania,Malaysia,MYS,2020,97.45,26471.67383,33199988
Oceania,Maldives,MDV,2020,99.59,12744.42969,514451
Africa,Mali,MLI,2020,86.4,2225.894287,21224042
Europe,Malta,MLT,2020,100,39979.69922,515364
Oceania,Marshall Islands,MHL,2020,99.96,3932.247803,43437
Europe,Martinique,MTQ,2020,99.84,,370399
Africa,Mauritania,MRT,2020,85.16,5109.805176,4498605
Africa,Mauritius,MUS,2020,99.87,19462.93164,1297830
Africa,Mayotte,MYT,2020,96.37,,305591
North America,Mexico,MEX,2020,99.68,17852.35938,125998296
Asia,Micronesia (country),FSM,2020,,3368.545898,112119
Africa,Middle East and North Africa,,2020,,15210.99316,
Oceania,Middle income,,2020,,11224.4834,
Europe,Moldova,MDA,2020,92.09,12324.38867,3084848
Europe,Monaco,MCO,2020,100,,36943
Asia,Mongolia,MNG,2020,87.64,11723.87305,3294340
Europe,Montenegro,MNE,2020,99.4,18258.94922,629058
Oceania,Montserrat,MSR,2020,98.08,,4526
