Continent,Country,Code,Year,Water,GDP,Population,gdp_log
Europe,Lithuania,LTU,2020,98.01,37107.05859,2820269,4.56945653
Europe,Luxembourg,LUX,2020,99.88,112557.3125,630401,5.051373715
Africa,Macao,MAC,2020,100,57728.98828,676287,4.761393946
Africa,Madagascar,MDG,2020,56.1,1463.86499,28225182,3.165501024
Africa,Malawi,MWI,2020,92,1508.842896,19377058,3.178644022
Oceania,Malaysia,MYS,2020,97.45,26471.67383,33199988,4.422781403
Oceania,Maldives,MDV,2020,99.59,12744.42969,514451,4.105320406
Africa,Mali,MLI,2020,86.4,2225.894287,21224042,3.347504535
Europe,Malta,MLT,2020,100,39979.69922,515364,4.601839522
Oceania,Marshall Islands,MHL,2020,99.96,3932.247803,43437,3.594640878
Africa,Mauritania,MRT,2020,85.16,5109.805176,4498605,3.708404342
Africa,Mauritius,MUS,2020,99.87,19462.93164,1297830,4.289208257
North America,Mexico,MEX,2020,99.68,17852.35938,125998296,4.251695621
Europe,Moldova,MDA,2020,92.09,12324.38867,3084848,4.090765386
Asia,Mongolia,MNG,2020,87.64,11723.87305,3294340,4.069071107
Europe,Montenegro,MNE,2020,99.4,18258.94922,629058,4.261475781
Africa,Morocco,MAR,2020,95.67,6986.283691,36688768,3.844246217
Africa,Mozambique,MOZ,2020,73.35,1229.940308,31178242,3.089884035
Asia,Myanmar,MMR,2020,85.31,4857.389648,53423200,3.686402943
Africa,Namibia,NAM,2020,91.36,8814.591797,2489099,3.945202205
Oceania,Nauru,NRU,2020,100,13594.49219,12339,4.13336299
Asia,Nepal,NPL,2020,94.05,3800.065674,29348626,3.579791102
Europe,Netherlands,NLD,2020,100,54324.38281,17434562,4.734994801
Oceania,New Zealand,NZL,2020,100,42774.69141,5061130,4.631186885
North America,Nicaragua,NIC,2020,83.22,5280.099609,6755900,3.722642116
Africa,Niger,NER,2020,68.57,1221.269897,24333644,3.086811652
Africa,Nigeria,NGA,2020,82.59,4916.721191,208327408,3.691675582
Europe,North Macedonia,MKD,2020,99.38,15931.3623,2111078,4.202252914
Europe,Norway,NOR,2020,100,63548,5379836,4.803101887
Asia,Oman,OMN,2020,99.71,29502.06055,4543406,4.46985235
Asia,Pakistan,PAK,2020,93.97,4562.622559,227196736,3.659214543
Asia,Palau,PLW,2020,99.66,15473.25195,17999,4.189581597
Asia,Palestine,PSE,2020,98.91,5394.071777,5019407,3.731916721
North America,Panama,PAN,2020,96.25,25389.8125,4294391,4.404659494
Oceania,Papua New Guinea,PNG,2020,47.47,4063.732178,9749641,3.608925078
South America,Paraguay,PRY,2020,100,12389.58691,6618700,4.093056826
South America,Peru,PER,2020,93.99,11260.8457,33304768,4.051571008
Asia,Philippines,PHL,2020,96.97,7953.581543,112190984,3.900562738
Europe,Poland,POL,2020,99.97,32398.70508,38428368,4.510527653
Europe,Portugal,PRT,2020,99.91,31961.77539,10298186,4.504630895
North America,Puerto Rico,PRI,2020,100,32551.06836,3271570,4.512565247
